,Returns,Volatility
IR,0.3484951861245789,0.3959647557486807
IRM,0.12936434498180005,0.3048898005231592
ISRG,0.3526194434212104,0.3286421379151706
IT,0.19291328034274297,0.32082934209421216
ITW,0.18286847521091987,0.2779605300009947
IVZ,0.07324934467353658,0.4339776957280969
J,0.220014792217634,0.3025098516595778
JBHT,0.1517211163236023,0.2880235404887761
JCI,0.13279382261852898,0.28312494875137406
JKHY,0.16547202904368724,0.2476381400783801
JNJ,0.1253750461861177,0.21124530362216679
JNPR,0.01676530464353145,0.27840194453944456
JPM,0.2063478546453141,0.3167790814593732
K,0.004302123912556053,0.24108581831802803
KEY,0.1545266215595964,0.43695968300589627
KEYS,0.38300503155332416,0.3305086073122941
KHC,-0.11304897448487906,0.3291507587761403
KIM,0.0734671195572741,0.43224774642211444
KLAC,0.43673079153403876,0.41002496354614326
KMB,0.08459970707404785,0.2291228648601471
KMI,0.010724822662164657,0.3274267534095102
KMX,0.2168521064837984,0.37158563828728763
KO,0.09279767816746398,0.21204296086651256
KR,0.06183361085145971,0.3193081384800728
KSU,0.2940318769984283,0.31415641762026025
L,0.061835200962045846,0.32461833698042547
LB,0.19014916289038086,0.6254068045737767
LDOS,0.19335681159654433,0.2908784916661947
LEG,0.07872225788655876,0.38922512033734824
LEN,0.25347287813613006,0.41250577109750053
LH,0.19872981445762572,0.3107789589298781
LHX,0.19477961519752476,0.28441424287573924
LIN,0.23106318262442388,0.25992577735594374
LKQ,0.13590420519731752,0.39481017830983156
LLY,0.30566294129377886,0.2789037037982595
LMT,0.12361959731248237,0.25704653091722596
LNC,0.13049210168808012,0.5285631188700001
LNT,0.10531821454356087,0.23114261185684284
LOW,0.272698132318239,0.3353006874241633
LRCX,0.5188931655029871,0.4461989789360736
LUMN,0.4581159050674146,0.5945004065592561
LUV,0.11749459166191452,0.3800312260741767
LVS,0.14901902985174537,0.3772574684373568
LW,0.2547862288000004,0.341045204932766
LYB,0.22252103207883203,0.42386907028051546
LYV,0.37847477345806685,0.43429467689493767
MA,0.34681395790481834,0.3113718495472029
MAA,0.15123025697148623,0.26920692655162864
MAR,0.22526774233309882,0.3855619971047132
MAS,0.17644311060888176,0.2946304643458889
MCD,0.18662569470313217,0.24466068029781746
MCHP,0.31099900483794957,0.40858862393222434
MCK,0.09528769078755345,0.32190149491875475
MCO,0.3134763782860975,0.3055424668444022
MDLZ,0.08677283603705759,0.22441755879992037
MDT,0.17587013962802625,0.2553073983189452
MET,0.14388962517660422,0.35403432497818765
MGM,0.22075214146813643,0.5388375440926764
MHK,0.0713968887535564,0.4534801988507982
MKC,0.19107945555246136,0.2542911999549037
MKTX,0.37631096940638514,0.32703646725727953
MLM,0.17176618448505487,0.35620053097943494
MMC,0.17365002848078287,0.22734610887678697
MMM,0.06141973720377504,0.26282859039708545
MNST,0.19998123187440695,0.288545323440714
MO,-0.01342626485519399,0.26045030919741147
MOS,0.13389848640651125,0.4935629861373642
MPC,0.16409580799425155,0.48280882367548383
MPWR,0.45598660458879364,0.4114482284022403
MRK,0.09892176182350622,0.2228029734673314
MRO,0.08316289145523022,0.5894442798550598
MS,0.22721088838111314,0.35330827273425097
MSCI,0.46822701345428736,0.33428266594247275
MSFT,0.37432520075742454,0.28747167536565055
MSI,0.2367352098173445,0.28390272726968213
MTB,0.08458582320877016,0.37023637988524605
MTD,0.27450553040725684,0.2821402507317598
MU,0.4503718176857291,0.47233951489312137
MXIM,0.2926161597105484,0.321605801205941
NCLH,0.1539837809577832,0.693224717429567
NDAQ,0.2274659139936209,0.2583380936834058
NEE,0.28207244087063915,0.24648338341063383
NEM,0.17971090131909048,0.3177757399567992
NFLX,0.42819859227081447,0.4014540202653324
NI,0.06237843038420323,0.27159419560097553
NKE,0.2842554893429141,0.2937978668848988
NLOK,0.1692297378101011,0.36502672040763307
NLSN,-0.03686389089569768,0.3920098813364383
NOC,0.10495199053122557,0.2702073212030888
NOV,-0.0746923224526439,0.529829345180301
NOW,0.5443460897750138,0.3815478454887493
NRG,0.34094303462648234,0.3641057606908755
NSC,0.2759684073484096,0.3134374261614684
NTAP,0.23977418656874394,0.3865120434639696
NTRS,0.09061090559982714,0.3244601692267594
NUE,0.08666287242953377,0.33670791765636
NVDA,0.5231576774937164,0.4751074256338084
NVR,0.31493615902341854,0.381601770555373
NWL,-0.006840316561237027,0.4616086619302269
NWS,0.2215688546139401,0.32195681612829324
NWSA,0.2344539694101737,0.3214171702736966
O,0.11059307153698704,0.32508955621539204
ODFL,0.36788009767630575,0.3066886541216847
OKE,0.13353075321132205,0.5005089387758838
OMC,0.027883975050362598,0.30320915423410555
ORCL,0.17692126320470025,0.2722415868679141
ORLY,0.1633221984397576,0.317031377037684
OTIS,0.45079133526978027,0.3844206795564044
OXY,-0.0027965473587787592,0.596832534427048
PAYC,0.6058679748251513,0.4522544746658807
PAYX,0.16884370666816606,0.28069433477300665
PBCT,0.09568589642230041,0.37120840013974227
PCAR,0.15459148864399916,0.2710240054398035
PEAK,0.10504475145774841,0.338510288941729
PEG,0.11500464509895124,0.24159503965442236
PEP,0.10373947161212953,0.2204397707662256
PFE,0.08161812881768446,0.2295584083335362
PFG,0.10587927771910843,0.38446493594220926
PG,0.14472066753547222,0.2119089628678667
PGR,0.28574060611914726,0.25613032512083206
PH,0.25360263337969036,0.36438189964662243
PHM,0.3067498859745655,0.3974325976127461
PKG,0.17967666127492157,0.30379698850322345
PKI,0.2520946897443385,0.2782660525156245
PLD,0.21867753766332662,0.2805274856324022
PM,0.07018344061068747,0.27605008533964903
PNC,0.17277795989542466,0.3368832939551346
PNR,0.15463117561414638,0.3075559976263747
PNW,0.04481007619600687,0.25690075371303894
POOL,0.3387440214233828,0.3047954531964237
PPG,0.1404826256319672,0.2787547207847422
PPL,0.024906347869719053,0.274723171971004
PRGO,-0.09031578048750191,0.39512914910079927
PRU,0.07517835397825728,0.389191554451033
PSA,0.07544533686767248,0.237156947032015
PSX,0.10568838453167972,0.3945835718127277
PVH,0.161240024020577,0.5268256144154018
PWR,0.2667932101675127,0.32515914750458813
PXD,0.07473973922545338,0.4830213892841252
PYPL,0.5146291137394885,0.358701633211791
QCOM,0.28508853844420745,0.38819365196434813
QRVO,0.37635611645749284,0.4209869921517545
RCL,0.23214010337368848,0.6105594691218366
RE,0.09673082889128572,0.3039407053247999
REG,0.05383717204630353,0.3821377424473594
REGN,0.09757337370796561,0.3361538523239086
RF,0.20414396875086457,0.4131518736672637
RHI,0.18773356670977653,0.3439913172500815
RJF,0.2009758407008918,0.3515630677394558
RL,0.16723453259971668,0.4177914639248832
RMD,0.3435878886586171,0.3327944162977055
ROK,0.20985899336104574,0.32607569451073415
ROL,0.24143329681908887,0.2663805354837393
ROP,0.21359768092564643,0.2645590575236987
ROST,0.2095612572220563,0.3536525768827472
RSG,0.14958905454313365,0.20974867520506157
RTX,0.08759952131009821,0.33239759698962845
SBAC,0.2531073998187824,0.27535933641444277
SBUX,0.22329489751203158,0.28753044799201793
SCHW,0.17985567480537096,0.35510506123541963
SEE,0.04611772508504831,0.336365014881599
SHW,0.2670175559633111,0.2764618101363827
SIVB,0.3578336908073288,0.4428392664097169
SJM,0.02874330024944789,0.2564660861254161
SLB,-0.12611476400678184,0.4536587650717082
SLG,0.024403148153297412,0.43354466803959957
SNA,0.11572569115380194,0.3172541314028178
SNPS,0.3849082365240225,0.2906177735488144
SO,0.11698609902708194,0.26352252604363013
SPG,0.053994202531745486,0.4861982330222774
SPGI,0.3200253160718753,0.28721242539578157
SRE,0.10317372834637326,0.2806416956729588
STE,0.27039283600751784,0.25060689590298846
STT,0.07121777479468491,0.3649129252944032
STX,0.27372063266835683,0.3796792434238409
STZ,0.13935399400367324,0.30478556017351843
SWK,0.19020813544287135,0.3802874014966182
SWKS,0.3033719425369056,0.3994948980477455
SYF,0.13515618923541428,0.43969164512411824
SYK,0.22687595842852554,0.29763330626797396
SYY,0.1890940101638346,0.3795371028307596
T,-0.013872568990179577,0.24499642387012172
TAP,-0.11686598851078119,0.32000459048156743
TDG,0.3347006708922735,0.41438394636261333
TDY,0.3168528631563022,0.3195833005905397
TEL,0.2189240220185751,0.2974963015893044
TER,0.48155180415818516,0.4065348472941552
TFC,0.15086027587938258,0.3729730587139293
TFX,0.2730575448744735,0.30461977920050654
TGT,0.30612352266465465,0.32299556643225175
TJX,0.19853638725463793,0.30850860992764034
TMO,0.31273505549073627,0.2614965044494602
TMUS,0.21485099907419947,0.2857925915891889
TPR,0.2034486403920389,0.5076480054687398
TRMB,0.2788986202205724,0.35355610116743175
TROW,0.2573984975613269,0.3069716612766128
TRV,0.1086173227756108,0.2817332792771353
TSCO,0.23899042267225595,0.30136476127426337
TSLA,0.8532052797826365,0.6171338315217763
TSN,0.0905714529286235,0.31420249435744757
TT,0.28963525094298526,0.2833072479353499
TTWO,0.38726747790930754,0.36860013128986524
TWTR,0.5086065932934694,0.51676485204952
TXN,0.2804096517917338,0.3085812815022095
TXT,0.08624641154170191,0.39735748294647144
TYL,0.3139998377327588,0.25747155627303003
UA,0.05679395698337239,0.5249812013890555
UAA,0.0749607212953404,0.5419790231874201
UAL,0.08751832644296884,0.5723106336949787
UDR,0.10963773318201465,0.28939526304742397
UHS,0.11525503215959186,0.3826240247404282
ULTA,0.15509893311521886,0.4424266192607094
UNH,0.2344807077936431,0.30089248616884695
UNM,0.019735303949981346,0.46131230823380953
UNP,0.2321898714901751,0.28821372728064404
UPS,0.14791589653142687,0.27965665236439435
URI,0.3503295856070945,0.4657270353239292
USB,0.0759472053632304,0.326567408534136
V,0.2809661285451838,0.2720793165504125
VAR,0.23636981468257423,0.30451282335727914
VFC,0.19862460013944747,0.3545661947294823
VIAC,0.6424021940132751,0.6915395796130611
VLO,0.17062364143636186,0.45662698594142703
VMC,0.14297674493723547,0.354261985670102
VNO,-0.03936812325602005,0.3852195566979352
VNT,0.3277682471629283,0.31855519311484276
VRSK,0.20283428170793216,0.24653416858582433
VRSN,0.2607219941033503,0.2790566774019375
VRTX,0.31934494643290245,0.36929445862394633
VTR,0.11863193870231903,0.4524680429525602
VTRS,-0.1484869618642673,0.4098054353532325
VZ,0.06811795886015666,0.19739912379942862
WAB,0.04325743902276027,0.3785293732863567
WAT,0.20831014421160537,0.2835188564406855
WBA,-0.04888502412643695,0.32422635541525546
WDC,0.14485923975172973,0.48849737190594933
WEC,0.140323213347093,0.24801389167989307
WELL,0.14054512705025296,0.4092826315362084
WFC,-0.007735685804136611,0.35808650859362456
WHR,0.12030898363725273,0.3987676653317816
WLTW,0.18782028338713916,0.2573445070088073
WM,0.15185003999739205,0.21410516912438576
WMB,0.04947570646333273,0.3722458915497875
WMT,0.20208960797391715,0.22983462353983825
WRB,0.16415996696663135,0.2777090067084451
WRK,0.0790609429332198,0.40671017572793833
WST,0.33592948803594747,0.28361186615486006
WU,0.08656659976294925,0.271062248604676
WY,0.1386560980170462,0.3898352982734043
WYNN,0.26406351054825083,0.5415888701527458
XEL,0.1441213491774664,0.23357253870942205
XLNX,0.28196181902922146,0.3861339486407989
XOM,-0.023512692727045096,0.3092623597533685
XRAY,0.03820717617812673,0.3295666492361461
XRX,0.1034613155333703,0.40740214237966715
XYL,0.22541645777318836,0.29856524901024595
YUM,0.1706528488838862,0.26129434925619244
ZBH,0.16557993524410555,0.31023840813837117
ZBRA,0.4997356810236241,0.39039024288113183
ZION,0.14245872646766009,0.37085287145869056
ZTS,0.2972897163585404,0.2604849134536799
